timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695071491249,357,login,200,OK,Thread Group 1-136,text,true,,327,288,255,255,http://34.159.148.128/api/Account/login,338,0,240
1695071491216,483,login,200,OK,Thread Group 1-82,text,true,,327,288,285,285,http://34.159.148.128/api/Account/login,483,0,304
1695071491222,460,login,200,OK,Thread Group 1-121,text,true,,327,288,273,273,http://34.159.148.128/api/Account/login,460,0,288
1695071491216,480,login,200,OK,Thread Group 1-97,text,true,,327,288,284,284,http://34.159.148.128/api/Account/login,480,0,304
1695071491227,379,login,200,OK,Thread Group 1-29,text,true,,327,288,255,255,http://34.159.148.128/api/Account/login,359,0,259
1695071491222,384,login,200,OK,Thread Group 1-109,text,true,,327,288,255,255,http://34.159.148.128/api/Account/login,364,0,267
1695071491216,413,login,200,OK,Thread Group 1-65,text,true,,327,288,262,262,http://34.159.148.128/api/Account/login,413,0,288
1695071491274,361,login,200,OK,Thread Group 1-144,text,true,,327,288,264,264,http://34.159.148.128/api/Account/login,361,0,234
1695071491216,414,login,200,OK,Thread Group 1-81,text,true,,327,288,263,263,http://34.159.148.128/api/Account/login,414,0,288
1695071491239,444,login,200,OK,Thread Group 1-123,text,true,,327,288,275,275,http://34.159.148.128/api/Account/login,444,0,280
1695071491227,379,login,200,OK,Thread Group 1-55,text,true,,327,288,255,255,http://34.159.148.128/api/Account/login,369,0,269
1695071491239,367,login,200,OK,Thread Group 1-86,text,true,,327,288,255,255,http://34.159.148.128/api/Account/login,350,0,256
1695071491227,379,login,200,OK,Thread Group 1-115,text,true,,327,288,255,255,http://34.159.148.128/api/Account/login,359,0,259
1695071491216,436,login,200,OK,Thread Group 1-76,text,true,,327,288,270,270,http://34.159.148.128/api/Account/login,436,0,292
1695071491216,472,login,200,OK,Thread Group 1-31,text,true,,327,288,282,282,http://34.159.148.128/api/Account/login,472,0,303
1695071491470,255,login,200,OK,Thread Group 1-203,text,true,,327,288,294,294,http://34.159.148.128/api/Account/login,254,0,61
1695071491239,373,login,200,OK,Thread Group 1-105,text,true,,327,288,257,257,http://34.159.148.128/api/Account/login,373,0,258
1695071491227,435,login,200,OK,Thread Group 1-68,text,true,,327,288,273,273,http://34.159.148.128/api/Account/login,435,0,282
1695071491658,180,login,200,OK,Thread Group 1-272,text,true,,327,288,332,332,http://34.159.148.128/api/Account/login,180,0,98
1695071491222,399,login,200,OK,Thread Group 1-30,text,true,,327,288,259,259,http://34.159.148.128/api/Account/login,399,0,275
1695071491216,466,login,200,OK,Thread Group 1-3,text,true,,327,288,273,273,http://34.159.148.128/api/Account/login,466,0,294
1695071491225,435,login,200,OK,Thread Group 1-128,text,true,,327,288,272,272,http://34.159.148.128/api/Account/login,435,0,284
1695071491312,370,login,200,OK,Thread Group 1-156,text,true,,327,288,273,273,http://34.159.148.128/api/Account/login,370,0,198
1695071491616,207,login,200,OK,Thread Group 1-258,text,true,,327,288,327,327,http://34.159.148.128/api/Account/login,207,0,131
1695071491227,381,login,200,OK,Thread Group 1-11,text,true,,327,288,255,255,http://34.159.148.128/api/Account/login,381,0,269
1695071491239,443,login,200,OK,Thread Group 1-9,text,true,,327,288,273,273,http://34.159.148.128/api/Account/login,443,0,271
1695071491610,212,login,200,OK,Thread Group 1-256,text,true,,327,288,327,327,http://34.159.148.128/api/Account/login,212,0,134
1695071491601,220,login,200,OK,Thread Group 1-253,text,true,,327,288,327,327,http://34.159.148.128/api/Account/login,220,0,143
1695071491588,233,login,200,OK,Thread Group 1-249,text,true,,327,288,327,327,http://34.159.148.128/api/Account/login,233,0,154
1695071491222,384,login,200,OK,Thread Group 1-100,text,true,,327,288,255,255,http://34.159.148.128/api/Account/login,364,0,264
1695071491662,177,login,200,OK,Thread Group 1-273,text,true,,327,288,332,332,http://34.159.148.128/api/Account/login,177,0,96
1695071491322,360,login,200,OK,Thread Group 1-160,text,true,,327,288,273,273,http://34.159.148.128/api/Account/login,360,0,188
1695071491468,255,login,200,OK,Thread Group 1-202,text,true,,327,288,294,294,http://34.159.148.128/api/Account/login,255,0,63
1695071491480,255,login,200,OK,Thread Group 1-213,text,true,,327,288,297,297,http://34.159.148.128/api/Account/login,255,0,64
1695071491242,364,login,200,OK,Thread Group 1-93,text,true,,327,288,255,255,http://34.159.148.128/api/Account/login,354,0,254
1695071491216,467,login,200,OK,Thread Group 1-33,text,true,,327,288,273,273,http://34.159.148.128/api/Account/login,467,0,294
1695071491685,158,login,200,OK,Thread Group 1-277,text,true,,327,288,332,332,http://34.159.148.128/api/Account/login,158,0,80
1695071491469,251,login,200,OK,Thread Group 1-207,text,true,,327,288,292,292,http://34.159.148.128/api/Account/login,251,0,62
1695071491392,214,login,200,OK,Thread Group 1-181,text,true,,327,288,255,255,http://34.159.148.128/api/Account/login,194,0,94
1695071491349,297,login,200,OK,Thread Group 1-169,text,true,,327,288,268,268,http://34.159.148.128/api/Account/login,296,0,159
1695071491428,273,login,200,OK,Thread Group 1-193,text,true,,327,288,286,286,http://34.159.148.128/api/Account/login,273,0,92
1695071491604,214,login,200,OK,Thread Group 1-254,text,true,,327,288,325,325,http://34.159.148.128/api/Account/login,214,0,138
1695071491687,156,login,200,OK,Thread Group 1-279,text,true,,327,288,332,332,http://34.159.148.128/api/Account/login,156,0,78
1695071491690,153,login,200,OK,Thread Group 1-283,text,true,,327,288,332,332,http://34.159.148.128/api/Account/login,153,0,75
1695071491227,386,login,200,OK,Thread Group 1-114,text,true,,327,288,257,257,http://34.159.148.128/api/Account/login,386,0,270
1695071491687,157,login,200,OK,Thread Group 1-282,text,true,,327,288,332,332,http://34.159.148.128/api/Account/login,157,0,78
1695071491686,158,login,200,OK,Thread Group 1-274,text,true,,327,288,332,332,http://34.159.148.128/api/Account/login,158,0,80
1695071491246,439,login,200,OK,Thread Group 1-135,text,true,,327,288,280,280,http://34.159.148.128/api/Account/login,439,0,273
1695071491239,423,login,200,OK,Thread Group 1-22,text,true,,327,288,273,273,http://34.159.148.128/api/Account/login,423,0,270
1695071491339,314,login,200,OK,Thread Group 1-165,text,true,,327,288,270,270,http://34.159.148.128/api/Account/login,314,0,170
1695071491227,379,login,200,OK,Thread Group 1-120,text,true,,327,288,255,255,http://34.159.148.128/api/Account/login,360,0,262
1695071491226,457,login,200,OK,Thread Group 1-58,text,true,,327,288,275,275,http://34.159.148.128/api/Account/login,457,0,293
